HeatNo,Current1,Current2,Current3,Voltage1,Voltage2,Voltage3,MVATot,MWTot,MVARTot,PFTot,ZFeedback1,ZFeedback2,ZFeedback3,RWI1,RWI2,RWI3,NeutralCurrent,NeutralVolts,PrimaryVolts,VoltageLineToLine12,VoltageLineToLine23,VoltageLineToLine31,PhasorAngleV1I1,PhasorAngleV1I2,PhasorAngleV1I3,PhasorAngleV1V2,PhasorAngleV1V3,CurrentLoadPercent1,ActReaTap_Px3,ActualCHRG_PX3,ChargeWt1Tons,ChargeWt2Tons,ChargeWt3Tons,Ontime_PX3,OffTime_PX3,MWH_PX3,RegOut1,RegOut2,RegOut3,ChargeNumber,CIcounter1,CIcounter2,CIcounter3,SF1,SF2,SF3,MeanSF1,MeanSF2,MeanSF3,MeanCurrent1,MeanCurrent2,MeanCurrent3,MeanVoltage1,MeanVoltage2,MeanVoltage3,MeanTotMVA,MeanTotMW,MeanTotMVAR,MeanTotPF,I2H1,I2H2,I2H3,HeatRWI1,HeatRWI2,HeatRWI3,TransformerTap,HeatMWHPLC,ChargeNumb,PwrOnTime,TapTapTime,Ph1Pressure,Ph2Pressure,Ph3Pressure,PanelTemp1A,PanelTemp2A,PanelTemp2B,PanelTemp3A,PanelTemp3AEast,PanelTemp3C,PanelTemp4A,PanelTemp4C,PanelTemp5D1,PanelTemp5D2,PanelTemp6A,PanelTemp6C,PanelTemp7A,PanelTemp7E,PanelTemp8A,PanelTemp8B,PanelTemp9A,TempSumpN,TempSumpS,RoofInlet,RoofOutlet,CarbInject,HeatWt,OperKwhPerTon,HeatAvgMW,HeatI2HperMWH,HeatAvgI2H,ValidTempSample,ValidPPMSample,ValidCarbonSample,Charge_Carb,TotScrapWt,B1_GasCns,B1_O2MainCns,B1_CarbonCns,B2_GasCns,B2_O2MainCns,B2_CarbonCns,B3_GasCns,B3_O2MainCns,B3_LimeCns,TotalGasCns,TotalO2Cns,TotalCarbonCns,AdditionsCarbCharg,AdditionsLimeInj,AdditionsCarbInj,NCCcounter1,NCCcounter2,NCCcounter3,TotalCurrent,TempSumpNAvg,TempSumpNMax,TempSumpSAvg,TempSumpSMax,MWH1
29585,34.0029186046512,34.4756627895349,33.8551860465116,277.426315789475,279.41033492823,298.675119617224,27.9018468899521,23.030976076555,15.5036459330143,0.855739041435406,12.5922441325581,11.1978138906977,12.4664999686047,733.139534883721,931.203488372093,1124.69069767442,0.136564593301436,249.199808612439,13.9433953488372,476.055119617224,477.591387559807,478.035598086123,2.33949282296651,21.8505454545455,12.0218277511962,19.5034736842105,9.79611482392345,7382.01913875598,5,3,28.4,27,8.8,57,481.2,27.7,3341.34503735395,3477.49360388379,3951.63688311335,2.17703349282297,6,4,3,293.281339712919,277.077511961722,287.866985645933,144.243023255814,124.393023255814,145.03488372093,27.7611578937798,28.5296363636364,27.4409952133972,277.719521531101,280.373588516747,302.024401913876,27.8271196172249,23.0157511961723,15.403990430622,0.85682602708134,1175,1215,1160,379,406,467,6,27.7,3,57,538.2,12381.3110047847,12663.5358851675,12807.4459330144,93.5043062200957,91.5023923444976,86.0813397129187,88.2354066985646,94.8641148325359,80.9540669856459,99.4239234449761,89.7636363636364,87.4133971291866,89.7569377990431,0,0,93.8421052631579,91.2822966507177,102.015311004785,86.5033492822966,92.6555023923445,87.777990430622,92.4650717703349,81.7033492822967,88.6334928229665,1480,64.2,431.4641,29.15789,42.71962,1183.333,3080,659.4,0.44,812,51.2912918660279,5803.761,24742.63,637.1628,5535.672,24613.24,594.7795,4777.416,10489.02,0,16116.85,59844.89,1363.73027052632,812,0,2711.942,2,0,0,84.2389473674643,87.777990430622,113,92.4650717703349,133,8.5
29586,33.546075126943,34.3558808290156,33.1206606217616,260.230688336521,268.828011472276,282.002485659655,26.673776290631,22.7309847036329,13.8302772418738,0.890383937667304,11.9684196360103,11.1180180816062,12.0522409132124,900.426165803109,1229.87435233161,1387.84844559585,0.134636711281072,217.136806883364,13.9793523316062,451.053059273421,454.819311663478,454.432504780112,1.98764818355641,19.5897801147228,10.6714722753346,17.5440535372849,8.86094645697898,6685.56883365201,5,3,31.4,28.6,6.5,51.2,17.5,27.1,3429.03176280604,2978.09424892893,2935.09784081202,2.17495219885277,6,8,2,360.790630975143,340.151051625239,346.778202676864,134.094559585492,111.222797927461,119.873056994819,24.7789005726578,25.3820745688337,24.3334225621415,261.789866156789,268.622848948376,282.804780114724,26.6459464627151,22.6987858508604,13.8215009541109,0.890591202868068,1017,1053,969,400,455,512,6,27.1,3,51.2,68.7,12293.6108986616,13058.2801147228,13125.6701720841,100.463671128107,97.8986615678776,91.9579349904398,94.6759082217973,100.399617590822,86.5965583173996,101.93690248566,94.3929254302103,93.1739961759082,95.7151051625239,0,0,104.556405353729,96.6873804971319,108.270554493308,92.0975143403442,98.4493307839388,95.0583173996176,104.327915869981,85.1443594646272,93.6481835564054,622,66.5,407.5188,31.75781,37.38008,1013,3059,459.9,0.6,1193,53.7480879541108,6839.358,23880.14,553.8091,6462.198,23336.84,470.4553,4400.988,9624.196,293,17702.54,56841.17,1423.81003154875,1193,293,1646.264,26,0,0,74.5801816424475,95.0583173996176,107,104.327915869981,125,9.5
29587,34.3765373961219,34.8142382271468,33.4895567867036,265.847169811322,280.35566037736,287.494025157233,28.0240461215933,24.2915618448637,13.8466876310273,0.899633540251572,10.9755400969529,11.3143351080332,12.0074791911357,1152.43213296399,1351.73545706371,1416.78254847645,0.123322851153041,198.078092243186,14.012728531856,466.917505241088,470.828721174003,468.975681341718,2.03305031446541,19.9772955974843,10.938427672956,18.0175576519916,9.14838574423481,7066.87002096436,5,3,32.4,22.7,7,47.9,20.3,26.2,2520.59191174068,2746.04047808851,3264.13517533892,2.13836477987421,1,3,2,324.546121593291,316.892033542977,324.181341719078,106.542936288089,99.9335180055402,107.560941828255,25.7552830178197,26.2453668752621,25.179255764151,267.579559748429,279.164046121594,288.669496855346,27.8590146750524,24.1230398312369,13.7943186561845,0.898541716666666,960,995,918,400,461,492,6,26.2,3,47.9,68.2,12936.393081761,12771.3825995807,12736.0754716981,98.0146750524109,95.2494758909853,91.1079664570231,93.1970649895178,97.0450733752621,86.3825995807128,99.6582809224319,93.1373165618449,92.0796645702306,94.811320754717,0,0,106.88679245283,96.9895178197065,112.77463312369,90.8501048218029,95.8071278825996,93.7285115303983,101.842767295598,83.835429769392,92.7861635220126,648,62.1,421.9001,32.81837,36.55217,957.6667,3105,684.8,0.43,1175,50.658385744234,6108.315,23109.64,521.3152,5918.009,22885.65,480.3447,4878.594,10811.61,3647,16904.92,56806.89,1433.69090356393,1175,3647,1649.66,0,0,0,77.7256498951783,93.7285115303983,107,101.842767295598,119,8.5
29588,33.6141492537313,34.6035820895522,33.0917313432836,251.280500521378,257.26339937435,274.294890510948,25.6643065693431,22.1546506777894,12.818456725756,0.904776119186653,11.4501641059701,11.1967760761194,12.5134029671642,1185.7671641791,1282.49104477612,1427.56417910448,0.120344108446299,198.143795620436,14.0504179104478,436.379144942646,440.522523461937,439.437956204377,1.8003023983316,18.4100729927007,9.97182481751824,16.644244004171,8.37949947862356,6359.08342022941,5,3,30.6,20,10,44.3,18.6,24.2,2423.71155846703,2691.52405048117,3322.05991676695,2.22002085505735,0,2,3,377.14181438999,371.870698644421,384.534932221064,108.231343283582,102.973134328358,118.813432835821,23.5223044838373,24.0010531803962,23.0777267987487,250.466110531805,258.98717413973,273.813347236706,25.6374661105318,22.1536809176225,12.7640980177268,0.904472573618352,875,911,848,382,416,459,6,24.2,3,44.3,62.9,12951.0333680918,12813.8915537018,12923.6746611053,99.3691345151199,96.0479666319082,91.4869655891554,93.4640250260688,97.4953076120959,86.1657977059437,100.45046923879,93.4817518248175,92.6517205422315,94.2200208550574,0,0,103.082377476538,94.9144942648593,106.581856100104,91.3357664233577,95.7518248175182,94.7539103232534,102.728884254432,85.2846715328467,93.3743482794578,578,60.6,399.3399,32.77652,36.28099,878,3048,360,0.79,1245,49.8193952033361,5629.916,20526.22,474.6938,5419.047,20343.15,433.7229,4493.466,9966.484,3564,15542.43,50835.86,1400.82585922835,1245,3564,1486.417,0,0,0,70.8039937434831,94.7539103232534,104,102.728884254432,112,8.5
29589,33.3945562130177,34.1029437869822,32.5290976331361,237.912031558186,251.914003944775,259.96735700197,24.3822287968442,21.0310256410256,12.2095660729783,0.907847433629191,11.2861537840237,11.5861538047337,12.7951922721893,1133.93786982249,1344.31065088757,1321.03846153846,0.101538461538462,186.85788954635,14.0611834319527,418.458678500983,422.840927021694,419.921499013805,1.81811637080868,17.5931163708087,9.60917159763314,15.9411932938856,8.1045660729783,6056.31755424063,5,3,30.1,24.4,5.9,44.6,24.4,24.5,2500.27022027808,2611.58188064683,3187.19018357805,2.35897435897436,0,1,2,403.05325443787,396.920118343195,406.38067061144,104.519230769231,95.9245562130178,109.94674556213,22.5256213016766,23.046242602564,21.9860256410256,238.254043392505,251.566666666668,259.070611439845,24.6100493086785,21.2159270207101,12.3435305710059,0.908024159960553,886,922,848,372,440,460,6,24.5,3,44.6,69,12995.6696252465,12851.8974358974,13028.7603550296,99.9132149901381,95.4950690335306,91.1686390532544,93.1913214990138,97.9684418145957,86.7228796844182,101.27909270217,93.258382642998,92.1124260355029,97.3047337278107,0,0,104.042406311637,95.1558185404339,104.800788954635,90.8165680473373,94.3589743589744,93.4072978303748,102.442800788955,84.5167652859961,93.0700197238659,399,60.4,405.6291,32.95964,36.13605,885.3333,2990,437.6,0.63,1238,52.2011834319535,5774.093,21760.75,480.3447,5542.718,21543.68,440.7871,4611.274,10345.28,3656,15928.08,53649.71,1255.38590039448,1238,3656,1320.132,0,0,0,66.7121400394478,93.4072978303748,104,102.442800788955,116,7.2
29590,34.1485846153846,34.6142153846154,33.7374615384615,261.044444444445,272.042857142858,277.992176870748,27.3019954648526,23.7152721088435,13.410442175737,0.903885712131519,10.9725999492307,11.2305538107692,11.4728768969231,1185.44769230769,1349.34,1417.21538461539,0.118480725623584,197.607709750566,14.0446461538462,454.404421768707,457.296938775509,454.704421768707,1.92554421768708,19.3989909297052,10.6475623582767,17.549671201814,8.88810657369613,6817.55215419501,5,2,31.8,15.8,0,43.1,21.8,23.5,2932.33675388974,2217.80653085037,2440.27382263293,1.69387755102041,2,1,1,328.244897959184,327.859410430839,327.892290249433,90.1969230769231,87.9538461538462,88.6538461538462,25.0507936496598,25.4599319727891,24.5124943287981,261.031632653062,273.645351473924,280.218594104309,27.1863265306122,23.6231972789116,13.3328004523809,0.903765077437642,864,888,822,365,423,446,6,23.5,2,43.1,64.9,12924.4501133787,12640.6473922903,13061.1281179138,104.02380952381,97.5170068027211,92.3673469387755,94.9716553287982,101.886621315193,90.0532879818594,102.517006802721,94.4104308390023,93.0997732426304,98.7358276643991,0,0,109.646258503401,96.7993197278912,105.055555555556,91.8798185941043,95.0578231292517,95.5770975056689,103.085034013605,85.5045351473923,94.5839002267574,1351,47.6,493.6975,32.71461,36.51064,858,3036,1462.2,0.18,1281,42.3170068027204,4875.07,18877.25,416.7698,4698.994,18730.18,365.9097,3679.902,7794.976,3625,13253.97,45402.41,1682.41501247166,1281,3625,2133.679,0,0,0,75.5530952380954,95.5770975056689,107,103.085034013605,114,7.4
29591,32.4309180776836,33.0331779646892,32.1408191949153,274.337711864408,283.461440677967,292.325423728813,26.5634851694915,22.493029661017,13.9154555084746,0.884977434639831,12.6255225579096,12.4709321638418,13.1869208813559,1098.65395480226,1229.64124293785,1236.60451977401,0.121059322033899,235.605614406779,14.0190395480226,473.139512711863,475.953813559321,474.020444915253,2.02466101694915,19.8957521186441,10.8664300847458,18.0601906779661,9.13172669067796,6599.45338983051,5,3,30.9,26,9.2,47,14.9,24.6,3856.1663684517,3669.78786554079,4018.18609443809,2.13771186440678,8,2,8,362.323093220339,355.102754237288,357.954449152542,145.466101694915,137.190677966102,145.296610169492,24.8221927966102,25.2453495762712,24.4077860169492,271.51684322034,282.688453389831,292.463559322035,26.8721927955509,22.7121398283898,14.1453177944915,0.883575634004238,916,943,880,374,421,456,6,24.6,3,47,61.9,12862.6408898305,12971.8495762712,13547.1112288136,97.9713983050848,94.5720338983051,89.5805084745763,91.6472457627119,95.5794491525424,83.916313559322,96.9819915254237,91.3845338983051,90.6016949152542,92.4777542372881,0,0,101.808262711864,93.4915254237288,97.3665254237288,89.0455508474576,92.0953389830508,92.4258474576271,99.2521186440678,83.6218220338983,91.5084745762712,438,66.1,372.1634,31.40425,37.11382,913,3093,555.8,0.53,368,52.6563559322027,6146.813,21288.65,443.6128,5912.102,21193.38,408.2932,4818.159,10952.92,3857,16877.07,53434.95,628.488141949154,368,3857,1289.906,2,1,0,73.2221186313563,92.4258474576271,104,99.2521186440678,111,7.8
29592,33.6852593659942,34.4600720461095,32.9277953876081,282.915393386546,295.047206385405,307.04401368301,29.0109007981756,25.0880387685291,14.3254960079818,0.891704102394526,11.5172045778098,11.4018155144092,12.6256627896253,1172.62536023055,1337.80979827089,1375.5446685879,0.125826681870012,217.505359179019,14.0356628242075,495.205359179018,499.253249714936,496.564424173317,2.07281641961232,20.8280387685291,11.3420638540479,18.8773660205245,9.53662485632839,7248.33067274801,5,3,30.5,22.1,10.1,46,11.4,25.1,2923.78291344076,2626.14374700414,3286.22275580575,2.23831242873432,7,3,2,293.60661345496,285.787913340935,294.322690992018,106.85590778098,97.299711815562,106.746397694524,26.8521208665907,27.3333295313569,26.3405017103763,283.272291904219,294.584948688712,305.615735462943,29.1565792462941,25.2422234891676,14.3548802736488,0.893703075940707,927,953,887,394,448,477,6,25.1,3,46,57.4,12971.3922462942,12941.007981756,13462.5541619156,97.3283922462942,95.8266818700114,90.2930444697834,92.5461801596351,97.2919042189282,86.1835803876853,99.6590649942988,92.0467502850627,91.5062713797035,93.7651083238312,0,0,105.960091220068,93.7491448118586,97.8244013683011,89.927023945268,92.57582668187,92.3546180159635,100.497149372862,83.8221208665907,91.9201824401369,563,62.7,400.319,32.73913,36.74635,922.3333,3047,720.4,0.39,1067,51.363169897377,5787.038,21107.21,449.2642,5589.92,20843.29,409.7061,4508.492,10208.41,3747,15885.45,52158.91,1198.13991676169,1067,3747,1421.97,1,1,0,79.9987685279364,92.3546180159635,103,100.497149372862,110,7.7
29593,34.0014444444444,34.7172857142857,33.574126984127,287.140875000001,294.874000000001,308.621874999999,29.7365875,25.71776249875,14.73785,0.893155872999999,11.3770158269841,11.4354444126984,12.3376983984127,1268.42380952381,1360.36031746032,1369,0.124337500000001,223.639249999999,14.0362063492064,497.872249999998,501.734624999999,498.477749999998,2.027075,20.7583375,11.241325,18.7162625,9.38594999625,7337.72125,5,2,32,28.8,0,41.8,10.5,23.3,2647.9664555563,2923.74650294243,3190.4063835236,1.67375,2,4,3,289.79625,287.15,292.91125,96.4619047619048,93.0634920634921,103.028571428571,26.8990749974999,27.43874999875,26.2699875,284.084750000001,295.066750000001,310.127125000001,29.7298,25.7547875,14.66276249875,0.894376747375,837,871,807,376,414,453,6,23.3,2,41.8,52.3,12746.2825,12931.57125,13439.6025,98.2375,96.26875,90.57125,92.44625,98.16,86.9125,100.36,92.68375,91.44,96.1875,0,0,101.69125,93.43375,96.195,90.0075,93.31,92.5475,101.56625,83.41125,92.1925,400,60.8,383.2237,33.44498,35.97997,838.3333,3008,1146.4,0.23,1139,50.1562500000001,5583.958,19588.35,396.991,5420.657,19399.87,356.02,4133.046,8980.281,3744,15137.66,47968.5,1257.08219375,1139,3744,1153.011,2,3,0,80.5705125,92.5475,100,101.56625,110,9.4
29594,33.9563307070866,34.3809921244095,33.0482362204724,264.844791666667,277.545601851853,287.521759259259,27.4722222222223,23.6071527766204,13.9411805543982,0.896552544791667,11.2013542944882,11.3706298834646,12.3971338141732,1181.06141732283,1369.86456692913,1396.9905511811,0.114930555555556,214.099884259259,14.0145984251969,462.83761574074,467.452083333331,463.63472222222,1.95952546296297,19.4275231481481,10.5939351840278,17.4931712962963,8.84966434837963,6835.41666666667,5,2,31.3,29.3,0,42.2,14.3,23.3,2863.14026856116,2603.98224895641,3084.28387496138,1.71990740740741,1,1,4,342.21412037037,334.943287037037,340.097222222222,107.929133858268,96.3527559055118,103.88188976378,24.9796064814815,25.4501736111111,24.4087731469908,265.054282407408,276.809722222223,287.10462962963,27.5563541666667,23.6571990740741,14.0183912037037,0.895998840277777,846,872,802,360,417,443,6,23.3,2,42.2,56.5,12849.8078703704,13189.3518518519,13704.775462963,99.21875,95.9432870370371,90.6793981481482,93.3333333333333,97.8159722222222,86.0752314814815,99.8993055555556,92.7511574074074,91.9120370370371,97.1840277777778,0,0,105.414351851852,96.4444444444444,95.0856481481481,89.9606481481482,93.4814814814815,93.0381944444444,108.332175925926,83.9814814814815,92.2037037037037,422,60.6,384.4884,33.12796,36.0515,840,2980,357.1,0.77,1116,52.0519675925919,5947.975,20210.86,395.5781,5725.71,19916.45,329.1775,4400.631,9428.028,3714,16074.32,49555.33,1195.26957523149,1116,3714,1146.756,9,0,0,74.5313194421295,93.0381944444444,102,108.332175925926,141,7.7
