HeatNo,Current1,Current2,Current3,Voltage1,Voltage2,Voltage3,MVATot,MWTot,MVARTot,PFTot,ZFeedback1,ZFeedback2,ZFeedback3,RWI1,RWI2,RWI3,NeutralCurrent,NeutralVolts,PrimaryVolts,VoltageLineToLine12,VoltageLineToLine23,VoltageLineToLine31,PhasorAngleV1I1,PhasorAngleV1I2,PhasorAngleV1I3,PhasorAngleV1V2,PhasorAngleV1V3,CurrentLoadPercent1,ActReaTap_Px3,ActualCHRG_PX3,ChargeWt1Tons,ChargeWt2Tons,ChargeWt3Tons,Ontime_PX3,OffTime_PX3,MWH_PX3,RegOut1,RegOut2,RegOut3,ChargeNumber,CIcounter1,CIcounter2,CIcounter3,SF1,SF2,SF3,MeanSF1,MeanSF2,MeanSF3,MeanCurrent1,MeanCurrent2,MeanCurrent3,MeanVoltage1,MeanVoltage2,MeanVoltage3,MeanTotMVA,MeanTotMW,MeanTotMVAR,MeanTotPF,I2H1,I2H2,I2H3,HeatRWI1,HeatRWI2,HeatRWI3,TransformerTap,HeatMWHPLC,ChargeNumb,PwrOnTime,TapTapTime,Ph1Pressure,Ph2Pressure,Ph3Pressure,PanelTemp1A,PanelTemp2A,PanelTemp2B,PanelTemp3A,PanelTemp3AEast,PanelTemp3C,PanelTemp4A,PanelTemp4C,PanelTemp5D1,PanelTemp5D2,PanelTemp6A,PanelTemp6C,PanelTemp7A,PanelTemp7E,PanelTemp8A,PanelTemp8B,PanelTemp9A,TempSumpN,TempSumpS,RoofInlet,RoofOutlet,CarbInject,HeatWt,OperKwhPerTon,HeatAvgMW,HeatI2HperMWH,HeatAvgI2H,ValidTempSample,ValidPPMSample,ValidCarbonSample,Charge_Carb,TotScrapWt,B1_GasCns,B1_O2MainCns,B1_CarbonCns,B2_GasCns,B2_O2MainCns,B2_CarbonCns,B3_GasCns,B3_O2MainCns,B3_LimeCns,TotalGasCns,TotalO2Cns,TotalCarbonCns,AdditionsCarbCharg,AdditionsLimeInj,AdditionsCarbInj,NCCcounter1,NCCcounter2,NCCcounter3,TotalCurrent,TempSumpNAvg,TempSumpNMax,TempSumpSAvg,TempSumpSMax,MWH1
29866,35.02410147885835,35.5695877378435,33.85216701902749,188.4058787507661,204.3085119412136,205.20128597672942,19.87531537048376,16.410030618493572,10.98851193937537,0.8993349037966929,11.558054908033796,10.760412208245238,12.225338225158575,828.2949260042282,1155.338266384778,930.2769556025368,0.11071647274954144,177.5579301898354,14.034154334038096,331.1641763625223,336.04439681567624,332.8653398652785,1.862100428658908,15.587023882424981,8.557991426821799,13.936142069810169,7.143025107164731,5311.189222290263,4.932026944274342,3,27.3,23.8,11.0,62.5,41.1,30.6,3828.239665925199,3085.8734404281295,3951.86984661736,2.120024494794856,5,1,2,502.8089406001225,492.11145131659515,502.93508879363134,146.91754756871038,124.37843551797043,145.45877378435517,20.09537048315989,20.489840783221066,19.57750152969382,189.5282914880592,204.6364360073492,205.5338640545017,19.803882423759973,16.361671767911822,10.935296998162894,0.8995502135333745,1386,1393,1288,383,520,502,6,30.6,3,62.5,103.6,12897.777709736682,12970.41028781384,14034.278628291488,97.09859154929579,95.40416411512554,87.82853643600734,90.61604409063074,94.84200857317819,84.28352725045926,100.38150642988363,90.7862829148806,89.12921004286589,90.60563380281693,0,0,102.37599510104107,92.56521739130434,99.2088181261482,87.71402327005511,94.5731781996326,88.09369259032455,88.67176974892836,82.36191059399877,88.93631353337416,1318,62.1,492.7536,29.375999999999998,44.30283,1355.6670000000001,3041,1834.9,0.37,959,49.367360685854294,7751.119000000002,25976.83,579.2393,6801.983,24487.2,402.6423,6986.684,14190.17,0,21539.79,64654.19,1303.9892240048869,959,0,2299.882,1,0,7,60.52231475750187,88.09369259032455,112,88.67176974892836,117,11.2
29867,33.76691135734075,34.23882271468145,32.8654570623269,273.8217344753756,289.98597430406966,302.0414346895071,28.223126338329763,23.9088115620985,14.788832975374724,0.8819397203426118,11.804418238227127,11.856786663434892,13.40991686426594,1042.4487534626041,1282.0124653739613,1378.0664819944598,0.12156316916488301,238.4142398286928,14.056842105263154,481.389507494645,486.30492505353203,482.9498929336171,2.1091113490364024,20.47006423982873,11.174089935760168,18.384882226980714,9.357955026766597,6998.159528907923,4.1092077087794445,3,29.8,22.8,9.5,47.9,15.1,25.6,3794.732927724417,3559.357264972224,3967.937497740693,2.133832976445396,8,9,3,332.5695931477516,322.84582441113486,339.2987152034261,138.4016620498615,125.77008310249307,142.94736842105263,26.0213169164882,26.52811563169161,25.498062098501073,276.76006423982966,291.13308351177824,300.5596359743046,28.25596359743042,23.92226980620984,14.826755884368314,0.8817782637044976,972,999,926,377,449,476,6,25.6,3,47.9,63.0,12663.915417558886,12859.385438972164,13073.019271948608,95.7087794432548,93.01820128479658,85.35438972162741,87.36723768736618,93.0985010706638,79.48072805139186,97.45931477516059,88.38758029978588,86.3340471092077,91.35438972162741,0,0,102.62633832976444,94.76338329764454,99.15417558886507,85.17880085653105,91.813704496788,86.9304068522484,92.06852248394004,79.19807280513919,86.31691648822269,397,62.1,412.2383,32.0668,37.72136,965.6667,3085,1281.9,0.51,1050,49.35278372590932,5959.654,21516.89,404.0544,5760.227,21330.28,317.875,4822.679,10582.79,0,16542.56,53429.96,1228.7072205567447,1050,0,1118.9289999999999,0,0,0,77.98394004175616,86.9304068522484,100,92.06852248394004,105,9.3
29868,33.211024182076805,33.59694167852062,32.89341393883358,280.6728540772545,288.8528969957095,295.1713519313301,27.95208154506439,23.765933476394853,14.538272532188847,0.8880506418454941,12.018790839260294,12.051209072546227,12.884722600284512,1141.4452347083925,1346.7368421052631,1392.2361308677093,0.11991416309012932,237.3393776824027,14.10244665718349,481.3096566523588,482.7658798283238,481.97403433476234,1.9919420600858384,19.902435622317604,10.85244635193133,18.06057939914162,9.115214591201713,6758.428111587983,4.0,3,28.3,26.5,11.2,46.6,14.4,25.4,3130.0241909696965,3031.0749757807616,4185.726304324613,2.138412017167382,4,2,4,362.07081545064375,349.1952789699572,361.68562231759654,152.0398293029872,139.8321479374111,153.75106685633003,25.246845492489147,25.710332616952805,24.676405579291853,277.62231759656794,287.79141630901415,298.2174892703876,28.06781115772535,23.87274678111586,14.58284334763948,0.8868043968884116,920,947,887,397,456,478,6,25.4,3,46.6,61.0,12633.190987124462,12758.891630901291,13121.497854077254,96.66738197424893,93.84334763948496,87.06545064377684,89.18562231759657,93.84763948497854,80.37446351931332,97.82403433476395,90.06652360515021,87.98068669527899,92.85622317596571,0,0,107.39270386266094,94.30472103004291,105.14484978540771,86.83476394849785,93.46351931330472,88.63948497854078,94.22317596566522,80.08154506437769,88.04399141630901,480,66.0,384.8485,32.70386,36.141729999999995,918.0,3016,1482.3,0.45,1010,51.34313304721013,6242.0390000000025,20822.86,449.2637,6057.859,20745.99,291.0325,4852.573,10908.0,3890,17152.47,52476.86,1257.5094474248974,1010,3890,1220.296,2,0,0,75.22060085729655,88.63948497854078,98,94.22317596566522,103,9.5
29869,32.996440422322756,33.764660633484176,32.835475113122136,255.00165118679283,259.89876160990923,268.4953560371507,24.929669762641915,21.088121775025822,13.05888544891642,0.8942685234262127,12.372790309200596,12.146153799396672,13.263680220211166,1039.0467571644042,1273.7752639517344,1285.2880844645551,0.10715170278637813,220.6029927760565,14.053423831070905,435.4810113519069,437.1737874096981,436.4926728586146,1.8310939111455105,18.12182662538698,9.858658410732712,16.51650154798761,8.279009280701747,6075.605779153767,4.0,3,25.3,25.4,9.2,43.9,19.7,23.4,3469.329528206148,3803.286007214153,4495.82011016204,2.1826625386996903,9,7,6,418.97007223942217,411.75438596491233,430.44994840041284,155.81447963800906,143.74057315233784,169.105580693816,22.784592363261037,23.24298245614036,22.387502578947352,254.90815273581262,259.9885448916428,269.55314757482154,24.98152734778125,21.074478843137282,13.168555210526302,0.8918782235294119,873,904,852,373,406,423,6,23.4,3,43.9,63.6,12578.835913312692,12733.049535603715,12853.767801857583,95.64499484004128,92.59958720330238,85.35190918472651,87.3467492260062,92.21878224974199,78.30443756449948,94.91744066047472,88.09597523219814,86.34571723426212,89.1186790505676,0,0,100.58101135190918,90.57378740970071,100.2703818369453,85.12899896800828,90.63364293085657,87.27141382868939,93.09803921568628,79.53560371517028,86.68317853457172,335,59.9,390.6511,31.98177,37.45014000000001,876.3333,3029,718.2,0.84,992,47.45748194014529,5590.123000000001,18191.25,286.7939,5372.173000000002,18054.21,199.2017,4445.293,9984.283000000001,3339,15407.59,46229.74,1136.739670794644,992,3339,820.9956,1,1,0,68.16268317853475,87.27141382868939,96,93.09803921568628,103,9.7
29870,33.359121725731924,33.52699537750388,32.7095993836672,252.7270899470916,265.6974603174623,262.4957671957666,24.96215873015872,21.11972486772486,13.097841268783073,0.8943556589417991,12.773143241910605,13.509537710323556,12.802696436055474,1116.342064714946,1334.848998459168,1334.5408320493066,0.10846560846560872,226.4283597883589,14.021540832049336,434.1039153439124,436.47185185184975,433.8529100529074,1.8862645502645508,18.11645502645501,10.082349206349193,16.652074074074076,8.458391532275135,6163.038095238096,4.0,3,25.5,24.1,10.5,42.6,24.8,22.9,4010.008798283186,3186.12863812747,3904.113052892993,2.094179894179894,7,6,1,419.26984126984115,415.98201058201056,411.3746031746032,156.70878274268102,148.231124807396,150.14483821263482,22.975968252899452,23.299089944973588,22.486158730158724,253.1280423280444,263.77830687830874,263.61132275132456,25.037629628571448,21.189798939671963,13.125661374603162,0.8947957655026445,878,891,822,349,415,420,6,22.9,3,42.6,67.4,12560.768253968254,12673.86455026455,13446.060317460315,94.3005291005291,90.9989417989418,83.33650793650794,85.16719576719576,90.51322751322752,75.72698412698414,93.12063492063491,85.63386243386243,84.13756613756614,87.76296296296293,0,0,98.37248677248677,87.93968253968254,98.56402116402114,83.0169312169312,87.10264550264549,85.14074074074074,89.47407407407404,77.56084656084657,84.66772486772487,392,60.1,381.0316,32.25352,37.7147,863.6667,3003,1203.0,0.47,974,45.98698412698347,5637.569,18546.13,275.4919,5456.82,18475.11,148.3423,4333.4540000000015,9658.826,3395,15427.84,46680.06,1120.7310154497343,974,3395,815.8342,3,1,0,68.42149206349201,85.14074074074074,95,89.47407407407404,97,9.3
29871,33.49633781763826,34.254155455904325,32.863916291479825,269.35283842794894,277.39312227074424,283.00131004366824,27.009192139738012,23.15258733624455,13.705851528384272,0.8951682291484712,12.06718978026906,12.289267511210758,12.854917739910304,1189.201793721973,1349.167414050822,1409.2376681614346,0.11338427947598324,218.57292576419158,14.028579970104673,462.7555676855874,466.0171397379895,463.60207423580596,1.954519650655021,19.222390829694298,10.527423580786028,17.547281659388645,8.82899563209607,6619.444323144106,4.0,3,28.0,20.9,11.3,44.5,15.5,24.2,3258.2785932637016,3273.3112371196867,3402.168332803717,2.1441048034934496,7,5,3,367.132096069869,362.66703056768563,366.3853711790393,136.02989536621826,130.46487294469358,133.31091180866966,24.582183406113487,25.09145196397389,24.08394104694323,267.9259825327526,276.1634279475997,283.76244541484834,27.01682314410481,23.115163755458532,13.769290389737975,0.8936992339519653,889,925,848,380,429,455,6,24.2,3,44.5,60.0,12581.979257641922,12672.83406113537,13739.439956331875,95.21943231441048,91.05458515283844,83.37445414847161,85.38755458515284,90.14301310043669,75.84825327510917,91.77401746724891,85.54803493449782,84.37772925764193,86.92030567685589,0,0,96.9443231441048,88.50873362445415,98.20742358078604,83.07969432314411,87.42139737991266,85.50109170305676,92.4235807860262,77.75109170305676,84.84497816593887,553,60.2,401.9933,32.62921,36.66667,887.3333,3072,1107.6,0.56,989,47.37030567685554,5753.71,19739.39,460.5657,5560.655,19553.66,381.45,4547.901,10087.79,3386,15862.27,49380.84,1256.5818021834061,989,3386,1395.016,4,0,0,73.50548034825367,85.50109170305676,96,92.4235807860262,105,9.099999
29872,33.602237442922394,34.77152207001517,33.33059360578389,263.8932659932669,276.9204264870939,289.70011223344534,27.342233445566762,23.021795734006762,14.490280583613927,0.8840471362514021,12.188082143074574,11.52554028462709,13.025448983257222,1099.7016742770168,1321.24200913242,1434.1872146118722,0.1224130190796868,232.6831649831641,13.929238964992395,460.58159371492513,465.15544332210936,464.99259259259117,2.058574635241304,19.63594837261504,10.720280583613915,17.473097643097642,8.886251398428726,6727.029180695849,4.0,2,30.1,30.3,0.0,43.7,25.6,23.4,4042.467171233184,3429.686194921644,3443.4612907904675,1.728395061728395,13,3,0,370.9438832772166,350.94276094276086,363.70594837261496,151.29832572298324,129.34246575342465,139.23744292237444,24.928451178451184,25.55030303030301,24.52831649831652,263.30280583614,277.8567901234576,289.07631874298625,27.282345679012327,22.9439169472503,14.501279460157145,0.8828425349046012,901,925,856,340,419,451,6,23.4,2,43.7,69.3,12673.390572390572,13441.953984287316,13655.769921436588,93.15151515151516,88.77104377104376,82.3625140291807,84.58361391694723,88.38832772166107,74.83501683501683,89.47699214365879,84.3557800224467,83.33221099887767,87.41189674523008,0,0,99.66442199775531,88.2749719416386,95.29180695847364,82.12233445566778,85.8675645342312,84.1672278338945,94.8148148148148,77.44556677890013,84.0415263748597,505,60.4,387.4172,32.12815,38.20513,894.0,3061,890.8,0.47,923,51.184511784512594,6312.5909999999985,21299.14,395.5781,6113.943,21038.93,292.4453,4526.508,9798.185,3831,16953.04,52136.26,1090.7518575757554,923,3831,1193.0230000000001,6,0,0,75.01967452188582,84.1672278338945,97,94.8148148148148,119,7.6
29873,33.4156857142857,34.04292857142858,33.01531428571432,264.21190727081284,274.7567966280309,286.10242360379306,27.094520547945198,23.232507903055826,13.788735511064266,0.8951656465753423,12.437171375714259,11.943742808571413,12.694514272857132,982.1314285714287,1299.2942857142855,1441.8657142857144,0.11096944151738747,212.94836670179046,13.952771428571394,460.56364594309593,463.1442571127493,462.09536354056746,1.9529610115911509,19.519378292939944,10.639304531085344,17.494889357218142,8.893329815595363,6658.640674394099,4.0,3,26.3,23.5,10.7,46.0,16.3,25.2,3022.1333838149444,2823.233829570196,3195.0510521481224,2.084299262381454,2,4,4,352.88303477344573,345.2381454162277,347.7881981032666,124.23857142857143,112.16,118.26142857142857,24.817565858798773,25.45288724973661,24.50936775553212,263.2620653319297,273.15669125395266,287.7574288724985,27.24442571127501,23.319062169652266,13.917924128556368,0.8936848239199163,926,966,893,376,432,490,6,25.2,3,46.0,62.3,12618.200210748157,13368.279241306638,13689.219178082192,95.60906217070601,91.70073761854584,85.74288724973657,88.08008429926237,91.49209694415173,78.27713382507903,96.10748155953637,87.82929399367754,86.86090621707059,91.84299262381454,0,0,103.25922023182295,92.82929399367755,100.36775553213907,85.42255005268704,89.21390937829294,87.48893572181244,99.38250790305584,79.76501580611169,87.08113804004215,588,60.5,416.5289,32.86956,36.83863,928.3333,2989,627.2,0.72,921,46.95943097997874,5808.736,18338.01,411.1187,5581.7869999999975,18222.82,319.2883,4592.999,9954.211,2841,15983.52,46515.04,1149.7945938883024,921,2841,1318.4070000000004,1,0,0,74.13673340358301,87.48893572181244,98,99.38250790305584,112,9.5
29874,34.37362121212118,34.81022727272727,33.632530303030265,287.7918984280538,301.37182587666285,313.7235792019347,30.385078597339746,26.05264812575572,15.439721886336146,0.8868966122128173,11.078560557575749,11.148196931818173,12.312621196969692,1205.7666666666667,1366.5151515151515,1465.6409090909092,0.12107617896009758,228.14727932285385,13.980984848484864,504.2767835550168,507.79891172914114,506.103022974606,2.1002660217654165,21.081487303506666,11.494607013301088,18.90078597339781,9.567581620314382,7488.538089480047,4.0,2,30.9,29.6,0.0,43.7,10.3,24.5,2804.191237737595,2779.2098287133394,3162.8003774313124,1.6964933494558645,2,5,1,282.4812575574365,276.7787182587666,286.9951632406288,107.27121212121212,97.78787878787878,113.15151515151516,27.296662636033787,27.81253929866992,26.75423216444983,287.7336154776301,298.66868198307185,316.15525997702576,30.3703748488513,26.08409915234584,15.37632406166869,0.8872216419588883,886,915,851,384,428,485,6,24.5,2,43.7,54.1,12594.447400241836,13356.99637243047,13516.506650544135,97.07255139056831,92.63119709794438,86.62394195888754,89.88270858524788,92.62152357920193,80.01451027811366,95.8186215235792,88.7714631197098,88.37122128174124,91.90447400241837,0,0,100.0229746070133,92.6348246674728,100.6844014510278,86.43893591293833,90.27932285368804,88.62394195888754,100.25272067714631,80.53204353083434,88.42079806529625,407,60.5,404.9587,33.63844,36.08163,884.0,2986,1143.8,0.39,849,50.42079806529618,5785.329000000002,20979.63,495.885,5640.2919999999995,20802.36,381.4502,4239.384,9098.867,3752,15665.0,50880.85,1095.8517308343444,849,3752,1284.335,1,0,0,82.07332527206803,88.62394195888754,97,100.25272067714631,109,8.7
29875,33.51344525547445,34.35531386861309,32.905036491970804,287.89918981481566,298.58796296296384,313.57256944444464,29.18784722222219,24.566493055555547,15.4616898125,0.8731995348379625,13.793401416058405,11.910510921167884,13.337810198540149,730.5547445255472,1325.0963503649634,1432.1912408759124,0.1277777777777788,262.40763888888864,13.956291970802901,498.62523148148017,502.7163194444433,502.3157407407392,2.2531365740740745,21.06833333333332,11.490810185185206,18.796562500000004,9.534444440972237,7200.179398148148,4.0,2,30.7,29.9,0.0,45.4,11.1,23.9,4223.793577896502,3888.851733021681,4156.11596392495,1.6805555555555556,20,7,6,336.6423611111111,318.4733796296296,321.4293981481481,165.2934306569343,143.65109489051096,149.63503649635038,26.26512731481482,26.956944443287092,25.840254629629626,287.2206018518524,298.0711805555561,312.77303240740844,28.816261574074048,24.258854165509238,15.248449074074072,0.8733121506944435,915,939,867,348,427,467,6,23.9,2,45.4,56.5,12462.738425925923,13282.25,13551.061342592593,93.86574074074076,89.22685185185185,84.97685185185185,87.54629629629629,89.46180555555556,77.73958333333333,93.22800925925924,87.13310185185185,86.47685185185185,89.03703703703705,0,0,94.5300925925926,90.16550925925924,95.68402777777777,84.83564814814815,88.03819444444444,86.72569444444444,98.16087962962965,79.2673611111111,86.86111111111109,313,60.6,394.3895,31.5859,37.94979,907.0,3105,1184.7,0.44,1080,50.86747685185114,6150.2109999999975,21452.15,456.3276,5978.468000000003,21217.78,358.8457,4470.3859999999995,9605.205,3836,16599.07,52275.13,1324.2711435185172,1080,3836,1128.173,12,0,0,79.91684027430574,86.72569444444444,96,98.16087962962965,107,8.5
29876,34.93027127906982,35.31968990956075,34.22582687209298,261.23712918660414,273.4718660287093,278.8546411483254,26.84233492727275,21.963301435406702,15.093511959808595,0.8647636351196182,12.504173083979332,12.720813901808796,13.257919852713187,967.6472868217053,1187.3656330749354,1237.140826873385,0.12061244019138835,249.04124401913785,13.886253229974205,451.4812440191367,454.3890909090892,452.63942583731887,2.295818181818183,19.776047846889966,10.96435406698564,17.777416267942566,9.00007654832535,6960.17033492823,4.0,3,25.1,26.2,11.4,51.5,470.4,26.5,3840.9986353633003,3851.017052625983,4403.345962030452,2.0267942583732057,12,6,16,379.34258373205734,372.5311004784688,380.7540669856459,164.2312661498708,155.86046511627907,165.88242894056847,25.817837319617162,26.27388516745455,25.35663157894733,261.9015311004792,274.3534928239245,278.76315789473784,26.94802870717701,22.016047845933016,15.177052629665088,0.8641631567464118,1164,1189,1113,376,442,463,6,26.5,3,51.5,521.9,13306.283253588515,13415.866985645933,13781.572248803828,84.50334928229665,82.06794258373206,77.69665071770335,79.42009569377991,82.51004784688995,70.8047846889952,82.62105263157895,79.16267942583733,78.32727272727273,79.41531100478468,0,0,90.1732057416268,81.64688995215313,89.75311004784689,77.44114832535884,85.15789473684211,78.29760765550239,87.93110047846892,73.95023923444975,79.57416267942584,422,62.7,422.6475,30.873790000000003,43.59748,1155.333,2989,991.4,0.41,987,47.025358851673886,5378.232,18911.72,387.1013,5145.483,18830.89,292.4453,4439.231,9438.439,0,14962.95,47181.05,1124.5740410526446,987,0,1101.547,0,0,0,77.401808573206,78.29760765550239,94,87.93110047846892,102,10.0
29877,33.20668630338735,34.01820324005889,32.296450662739325,257.94557894736977,268.1956842105275,279.7056842105257,25.8294,21.86371578947368,13.554515787368413,0.8899635769473697,12.325817332842405,12.29222381885124,13.739160500736382,1025.3961708394695,1269.0191458026507,1252.6288659793815,0.11092631578947423,224.68126315789388,13.974653902798236,447.38463157894546,451.57747368420837,449.4914736842088,2.01962105263158,18.869957894736842,10.36482105263157,17.086378947368427,8.660505262105264,6394.489473684212,4.0,3,25.2,25.4,9.8,44.9,17.3,23.8,3632.580076508554,3742.779346527379,3768.2384743917405,2.1389473684210527,11,9,1,386.94947368421066,385.93578947368417,391.64315789473676,141.0382916053019,140.18556701030928,145.78939617083947,23.842873684210524,24.279557893578968,23.30155789473684,259.88957894736967,268.7311578947377,276.9127368421064,25.93885263147368,21.95849473578946,13.606810526315785,0.8905468399999991,893,927,857,370,415,438,6,23.8,3,44.9,62.2,13142.487368421052,13502.977894736841,13563.083157894736,91.17473684210528,89.42842105263156,82.75263157894737,84.73684210526315,90.5842105263158,78.92526315789473,92.49473684210527,84.5821052631579,83.8042105263158,85.72947368421053,0,0,97.82210526315792,87.27684210526316,96.31684210526316,82.65894736842105,90.24105263157897,84.42210526315789,96.30842105263157,77.29157894736842,84.02315789473684,483,60.4,394.0398,31.80401,37.493,892.3333,3030,1019.5,0.47,926,47.432631578947856,6083.626,21013.33,504.3623,5838.222,20645.29,452.0898,4870.094,10759.0,3710,16791.94,52417.62,1169.9162884210562,926,3710,1439.4520000000002,1,0,0,71.1480000000002,84.42210526315789,94,96.30842105263157,108,8.0
