HeatNo,KwhPerTonSample,PPMSample,TempSample
30073,342.9002,608.3,2880
30074,358.3333,906.5,2947
30075,367.1096,1385.4,3062
30076,358.804,1117.0,2981
30077,355.0,1200.2,2982
30078,365.5394,1128.4,3027
30079,354.7351,1122.6,2954
30080,352.7454,1303.3,3012
30081,358.6776,1475.8,2991
30082,371.2871,1430.3,3010
30083,350.4132,1757.2,3027
30084,383.855,1286.3,2988
30085,371.2871,1310.4,3053
30086,401.9048,810.5,2986
30087,362.5378,882.2,2923
30088,352.657,1199.1,2974
30089,370.6176,1624.2,2998
30090,346.1538,1560.7,2959
30091,340.0,889.1,2885
30092,367.2788,1372.7,2992
30093,355.3054,1372.7,2866
30094,366.5008,1465.7,3064
30095,366.0565,1050.1,2969
30096,374.376,1529.2,3125
30097,347.1761,1292.8,3026
30098,379.7678,1012.2,3092
30099,377.4834,1509.9,3151
30100,366.0565,1509.9,3008
30101,375.4448,1509.9,3021
30102,395.6386,1509.9,2899
30103,389.439,1282.9,2976
30104,363.0363,1462.5,2988
30105,412.3711,1367.1,3023
30106,355.6942,1160.1,3004
30107,360.7085,1281.3,2991
30108,357.6159,1078.2,2990
30109,373.494,903.1,2967
30110,369.2308,1929.1,3064
30111,350.5843,1528.3,2967
30112,377.2955,1208.4,3049
30113,331.6667,1144.5,2907
30114,331.6667,939.3,2869
30115,335.0,1066.0,2907
30116,367.3077,1038.6,2917
30117,378.7167,1451.4,2981
30118,358.9315,1628.8,3006
30119,348.8746,1264.2,2988
30120,351.0815,1175.4,3032
30121,349.4176,1168.1,3028
30122,358.0034,806.7,2960
30123,354.5454,869.9,2905
30124,352.5741,1288.2,2936
30125,389.6552,1085.6,2996
30126,364.8881,1208.2,2898
30127,396.0066,620.5,3067
30128,362.7288,864.2,2936
30129,352.1595,1076.2,2932
30130,381.3747,1589.8,3055
30132,417.4455,1143.8,2966
30133,360.6811,999.0,2962
30134,360.2941,1309.0,2938
30135,354.9849,987.8,2921
30136,361.8012,795.6,2867
30137,373.5537,1072.1,2871
30138,373.3552,813.6,2950
30139,372.9373,1392.1,2978
30140,422.4,1559.3,3049
30141,386.9347,552.4,2908
30142,405.5299,916.4,2991
30143,348.6529,1292.9,2923
30144,362.1533,1381.1,2982
30145,369.8854,1136.5,2903
30146,380.7189,1235.9,2976
30147,379.7054,1138.4,2899
30148,359.4771,1187.4,2894
30149,366.0131,1276.2,2929
30150,372.7455,1132.0,2938
30151,369.5652,1714.2,3080
30152,351.5151,1553.3,3037
30153,357.1429,930.5,2855
30154,352.7454,942.0,2854
30155,364.2384,1395.8,2984
30156,347.1971,1113.9,2900
30157,403.4002,1094.9,2977
30158,343.2835,988.8,2880
30159,348.8372,1292.5,2967
30160,357.6159,1029.1,2888
30161,367.1399,1381.4,2964
30162,348.9096,1084.0,2976
30163,348.4848,807.6,2919
30164,369.3843,584.7,2925
30165,372.093,1236.7,3044
30166,363.9399,1667.1,3022
30167,357.1429,1375.1,2966
30168,355.0,1568.5,2993
30169,338.3333,1375.3,2962
30170,359.8673,688.1,2973
30171,337.1901,1022.4,2906
30172,359.5041,1266.3,2984
30173,381.6667,856.1,2838
30174,354.232,1245.4,2994
30175,345.3125,1110.4,2900
30176,353.3333,1422.7,2966
30177,372.7121,804.4,2907
30178,376.6667,614.0,2964
30179,385.382,614.0,2991
30180,375.0,698.9,2920
30181,375.0,539.9,2944
30182,350.0,970.0,2894
30183,346.0898,664.8,2967
30184,349.9222,780.0,2933
30185,362.5828,753.3,2933
30186,349.9171,845.7,2898
30187,369.4158,892.1,2964
30188,352.5741,972.6,2825
30189,370.0,847.1,2903
30190,381.6667,831.6,2939
30191,388.7043,657.3,3013
30192,387.3122,657.3,2966
30193,347.2454,1269.0,2960
30194,346.0207,1125.3,2949
30195,351.1188,1142.5,2909
30196,352.2337,1421.4,2960
30197,374.1379,1066.8,2991
30198,368.7707,1121.0,2948
30199,358.804,879.9,2911
30200,383.9662,925.7,2935
30201,364.0625,967.2,2881
30202,372.8549,1427.4,3009
30203,361.7363,1271.9,2949
30204,365.4485,1195.1,2968
30205,381.0316,649.1,2994
30206,386.0233,561.7,2924
30207,379.3677,682.2,2961
30208,382.6955,917.0,2969
30209,380.3987,917.0,2955
30210,346.5783,1199.8,2922
30211,341.1215,1516.3,3048
30212,366.4,1516.3,2931
30213,371.6108,1329.4,2958
30214,358.6776,1341.1,2955
30215,368.421,1480.5,3012
30216,441.4894,1491.1,2975
30217,362.5,1284.3,2964
30218,363.0673,1240.8,2896
30219,381.4262,1348.9,2999
30220,360.0,1280.9,2970
30221,366.6667,1606.4,3017
30222,370.4319,1635.4,3058
30223,391.3044,1081.5,2964
30224,364.3927,1503.3,3053
30225,360.1286,866.3,2922
30226,368.0782,1067.6,2982
30227,394.1368,1067.6,3083
30228,400.7782,1067.6,2910
30229,343.3284,720.3,2903
30230,362.5828,1467.5,3006
30231,397.6898,1088.8,2910
30232,348.7603,1133.4,2946
30233,353.1353,1092.9,2904
30234,365.1805,929.7,2925
30235,353.5826,1005.2,2966
30236,359.375,1198.9,2986
30237,350.5843,1304.0,2966
30238,353.4483,1195.6,2962
30239,347.6764,751.2,2888
30240,355.1724,1012.4,2960
30241,358.6207,1096.5,2977
30242,381.0316,1227.1,3006
30243,339.934,966.9,2927
30244,359.1433,1438.9,3064
30245,347.6112,799.6,2890
30246,356.3218,1293.9,2935
30247,397.351,1244.5,2962
30248,359.2715,1014.0,2903
30249,370.9677,958.8,2862
30250,354.1342,1125.8,2930
30251,374.415,982.0,2921
30252,394.8276,1214.3,2931
30253,363.3333,941.2,2883
30254,372.2871,1082.6,2980
30255,363.9399,1381.3,3020
30256,368.421,1172.7,2965
30257,376.91,1061.1,2914
30258,339.0706,862.2,2867
30259,375.6432,1211.6,2946
30260,369.4158,1564.2,3023
30261,385.1508,1699.0,3094
30262,425.2873,1699.0,3098
30263,351.7665,1854.0,3087
30264,351.8225,1521.3,3027
30265,363.9344,1227.4,2918
30266,359.0164,1403.0,2969
30267,416.0583,1403.0,3063
30268,359.401,1307.5,2960
30269,358.2555,1015.2,2956
30270,362.5,1042.6,2993
30271,366.5008,1189.8,2918
30272,353.3333,1299.4,2972
30273,350.6891,1287.7,2961
30274,368.3333,1208.5,2962
30275,375.2151,1519.5,3033
30276,385.6921,794.0,2981
30277,372.9903,794.0,2936
30278,383.3333,797.3,2996
30279,356.6667,1021.0,2904
30280,368.3333,1452.7,3054
30281,365.4485,946.7,2938
30282,366.0566,1028.2,2940
30283,377.7038,1178.3,3008
30284,368.7708,1049.8,2929
30285,367.7205,965.2,2934
30286,371.6666,1526.5,3063
30287,367.7205,1569.4,3036
30288,380.3987,958.2,2980
30289,368.1592,871.5,2984
30290,364.2384,1051.2,3004
30291,389.6353,1968.2,3165
