HeatNo,MgO (%),Al2O3 (%),SiO2 (%),P2O5 (%),S (%),CaO (%),TiO2 (%),Cr2O3 (%),MnO (%),FeO (%),Sum (%),V-Ratio,B3-Ratio,Sample ID	Application	Job ID	End Time	MgO (%)	Al2O3 (%)	SiO2 (%)	P2O5 (%)	S (%)	CaO (%)	TiO2 (%)	Cr2O3 (%)	MnO (%)	FeO (%)	Sum (%)	V-Ratio	B3-Ratio,31747,EAF,2529,3/22/2022 1:56 PM,9.09  ,4.78  ,10.41  ,0.427 ,0.103 ,28.84  ,0.477 ,0.867 ,7.23  ,36.88  ,99.10  ,2.77  ,1.90  ,31750,2530,3/22/2022 4:57 PM,9.54  ,4.32  ,8.66  ,0.431 ,0.110 ,26.71  ,0.444 ,1.042 ,6.98  ,42.69  ,100.93  ,3.08  ,2.06  ,31754,2531,3/22/2022 8:45 PM,13.08  ,3.75  ,8.97  ,0.429 ,0.072 ,27.87  ,0.380 ,0.905 ,5.45  ,41.34  ,102.25  ,3.11  ,2.19  ,31759,2532,3/23/2022 2:31 AM,10.36  ,4.12  ,10.34  ,0.449 ,0.076 ,31.47  ,0.466 ,0.665 ,6.03  ,33.72  ,97.70  ,3.04  ,2.18  ,31764,2536,3/23/2022 2:40 PM,10.65  ,6.40  ,12.63  ,0.583 ,0.106 ,33.94  ,0.593 ,1.445 ,8.51  ,28.60  ,103.45  ,2.69  ,1.78  ,31766,2537,3/23/2022 4:27 PM,8.59  ,4.56  ,9.05  ,0.424 ,0.071 ,29.47  ,0.465 ,1.341 ,8.62  ,35.33  ,97.91  ,3.26  ,2.17  ,31770,2538,3/23/2022 8:34 PM,8.23  ,3.56  ,6.24  ,0.354 ,0.053 ,21.69  ,0.308 ,0.710 ,4.70  ,54.67  ,100.51  ,3.48  ,2.21  ,31774,2539,3/24/2022 2:16 AM,8.44  ,4.74  ,9.82  ,0.443 ,0.064 ,28.93  ,0.482 ,1.055 ,6.52  ,38.05  ,98.54  ,2.95  ,1.99  ,31778,2545,3/24/2022 2:16 PM,9.43  ,4.76  ,13.29  ,0.472 ,0.087 ,33.23  ,0.640 ,5.92  ,32.38  ,100.70  ,2.50  ,1.84  ,31782,2546,3/24/2022 4:42 PM,9.16  ,4.10  ,9.73  ,28.85  ,0.456 ,1.250 ,7.85  ,37.38  ,99.28  ,2.97  ,2.09  ,31786,2547,3/24/2022 8:58 PM,8.95  ,4.36  ,9.23  ,0.425 ,0.115 ,25.21  ,0.377 ,1.013 ,6.37  ,45.61  ,101.66  ,2.73  ,1.86  ,31789,2548,3/25/2022 2:31 AM,8.91  ,5.24  ,9.88  ,0.467 ,0.093 ,31.75  ,0.573 ,1.186 ,6.75  ,34.81  ,99.65  ,3.22  ,2.10  ,31795,2549,3/25/2022 3:03 PM,9.35  ,5.00  ,10.98  ,0.075 ,28.99  ,0.453 ,0.682 ,5.09  ,41.41  ,102.46  ,2.64  ,1.81  ,31797,2550,3/25/2022 4:25 PM,11.65  ,5.89  ,11.69  ,0.533 ,0.100 ,41.29  ,0.598 ,1.520 ,8.19  ,14.67  ,96.13  ,3.53  ,2.35  ,31801,2551,3/25/2022 7:50 PM,9.86  ,4.16  ,7.22  ,0.381 ,0.104 ,26.40  ,0.410 ,1.032 ,5.81  ,41.24  ,96.62  ,3.66  ,2.32  ,31805,2552,3/26/2022 1:03 AM,9.65  ,4.06  ,7.09  ,0.391 ,0.102 ,26.97  ,0.371 ,1.103 ,6.05  ,43.24  ,99.02  ,3.80  ,2.42  ,31019,2557,3/28/2022 9:32 PM,4.66  ,7.11  ,0.325 ,0.105 ,22.96  ,0.373 ,0.699 ,4.47  ,49.42  ,99.22  ,3.23  ,1.95  ,31812,2558,3/28/2022 10:08 PM,8.24  ,4.33  ,6.43  ,0.314 ,0.096 ,22.37  ,0.353 ,0.684 ,4.37  ,48.34  ,95.53  ,2.08  ,31815,2559,3/29/2022 1:55 AM,5.12  ,8.36  ,0.459 ,0.074 ,30.23  ,0.483 ,1.154 ,6.90  ,33.52  ,96.65  ,3.61  ,2.24  ,31825,2573,3/29/2022 9:35 PM,9.52  ,4.41  ,9.11  ,27.45  ,0.736 ,5.65  ,43.30  ,101.11  ,3.01  ,2.03  ,31829,2574,3/30/2022 1:26 AM,11.88  ,5.05  ,8.53  ,0.436 ,0.077 ,28.19  ,0.418 ,1.640 ,6.13  ,38.20  ,100.54  ,3.31  ,31833,2578,3/30/2022 2:35 PM,10.70  ,7.91  ,0.458 ,0.090 ,32.85  ,0.515 ,1.362 ,5.78  ,30.52  ,94.85  ,4.15  ,2.61  ,31837,2579,3/30/2022 7:25 PM,5.99  ,12.39  ,0.555 ,0.111 ,36.62  ,0.539 ,1.678 ,6.61  ,100.15  ,2.96  ,31840,2580,3/30/2022 9:48 PM,13.63  ,12.46  ,0.551 ,0.108 ,36.49  ,0.541 ,1.647 ,6.60  ,22.27  ,100.22  ,2.93  ,31844,2581,3/31/2022 2:04 AM,10.96  ,4.54  ,8.54  ,0.061 ,25.85  ,0.383 ,1.234 ,6.27  ,41.06  ,99.29  ,3.03  ,1.98  ,31846,2585,3/31/2022 1:13 PM,10.47  ,5.06  ,7.76  ,27.72  ,0.444 .1,1.487 ,5.37  ,42.38  ,101.19  ,3.57  ,2.16  ,2590,4/4/2022 4:24 AM,15.37  ,11.14  ,0.480 ,0.094 ,35.75  ,0.508 ,1.155 ,5.77  ,22.22  ,99.58  ,3.21  ,1.96  ,31854,2591,4/4/2022 6:33 AM,10.09  ,5.70  ,10.77  ,0.057 ,32.01  ,0.491 ,1.015 ,6.08  ,30.71  ,97.34  ,1.94  ,31858,2595,4/4/2022 9:53 AM,8.75  ,0.056 ,27.89  ,0.457 ,1.360 ,6.19  ,35.77  ,99.33  ,3.19  ,1.92  ,31861,2596,4/4/2022 9:34 PM,11.35  ,6.20  ,9.59  ,0.473 ,0.066 ,28.55  ,0.460 ,1.604 ,7.60  ,35.03  ,2.98  ,31866,2597,4/5/2022 5:19 AM,8.45  ,0.360 ,0.043 ,23.59  ,0.382 ,1.077 ,4.84  ,48.11  ,102.00  ,2.79  ,1.79  ,31872,2599,4/5/2022 11:57 AM,10.27  ,4.91  ,0.409 ,0.050 ,27.28  ,0.887 ,5.98  ,37.49  ,98.47  ,2.53  ,1.74  ,31875,2600,4/5/2022 10:47 PM,8.01  ,4.17  ,7.34  ,0.329 ,0.080 ,22.71  ,0.434 ,0.952 ,5.69  ,46.32  ,96.04  ,3.09  ,1.97  ,31879,2601,4/6/2022 3:09 AM,8.48  ,5.28  ,8.74  ,0.385 ,0.055 ,29.17  ,0.485 ,1.158 ,6.59  ,33.63  ,93.97  ,3.34  ,31883,2602,4/6/2022 8:40 AM,7.43  ,8.39  ,0.388 ,28.95  ,0.488 ,1.157 ,34.09  ,92.59  ,3.45  ,2.15  ,31887,2603,4/6/2022 9:53 PM,6.31  ,3.33  ,6.39  ,0.282 ,0.137 ,20.03  ,0.299 ,4.71  ,52.17  ,94.25  ,3.14  ,31890,2604,4/7/2022 4:12 AM,-0.12  ,0.57  ,-0.51  ,-0.111 ,-0.018 ,-0.04  ,0.099 ,-0.141 ,-0.05  ,-0.50  ,-0.82  ,0.09  ,-0.75  ,2609,4/7/2022 4:52 AM,8.11  ,3.55  ,7.38  ,0.262 ,0.140 ,19.50  ,0.287 ,0.763 ,4.61  ,54.22  ,98.82  ,31893,2610,4/7/2022 7:02 AM,7.63  ,3.62  ,7.45  ,0.145 ,19.56  ,0.286 ,0.771 ,4.63  ,54.33  ,98.72  ,2.62  ,1.77  ,31895,2611,4/7/2022 9:01 AM,7.54  ,3.58  ,6.44  ,0.319 ,21.13  ,0.273 ,0.811 ,5.39  ,51.80  ,97.37  ,3.28  ,2.11  ,31897,2612,4/7/2022 11:09 AM,7.59  ,3.05  ,4.85  ,0.250 ,18.20  ,0.252 ,0.671 ,4.79  ,58.07  ,97.79  ,2.30  ,31904,2619,4/8/2022 9:10 AM,11.85  ,6.15  ,10.67  ,0.095 ,29.58  ,0.367 ,2.302 ,5.96  ,32.29  ,99.81  ,1.76  ,31906,2620,4/8/2022 9:15 AM,12.17  ,5.97  ,10.50  ,0.507 ,29.35  ,0.359 ,2.291 ,5.88  ,32.14  ,99.27  ,2.80  ,31911,2621,4/8/2022 9:50 AM,11.18  ,0.387 ,22.72  ,1.703 ,5.56  ,42.82  ,2.72  ,1.57  ,31916,2622,4/11/2022 8:38 AM,11.37  ,7.02  ,9.74  ,0.407 ,1.470 ,36.10  ,100.61  ,2.85  ,1.65  ,31920,2627,4/11/2022 1:12 PM,6.88  ,9.45  ,0.446 ,0.062 ,27.66  ,1.477 ,6.26  ,36.06  ,99.85  ,1.69  ,31922,2628,4/11/2022 8:51 PM,8.41  ,4.02  ,7.86  ,0.092 ,24.27  ,0.304 ,1.211 ,6.21  ,41.15  ,93.91  ,2.04  ,31927,2629,4/12/2022 4:19 AM,9.01  ,6.76  ,7.64  ,0.336 ,0.047 ,24.30  ,0.481 ,1.179 ,36.95  ,93.22  ,3.18  ,31930,2630,4/12/2022 5:55 AM,8.78  ,6.82  ,7.67  ,0.339 ,0.045 ,24.33  ,1.195 ,6.54  ,93.15  ,3.17  ,Lime_Yield,CaO_Provided_Lbs,Slag_Mass_Lbs,Fe_Lbs_Loss_in_Slag,MgO_Lbs_Refr_Loss
31688,11.02,4.62,9.51,0.404,0.102,29.5,0.455,0.814,7.28,32.29,96.0,3.1,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3578.8799999999997,2576.7935999999995,8734.893559322032,1974.3479912135585,30.585270237287887
31691,8.3,4.28,9.13,0.442,0.1,29.11,0.409,0.902,7.49,35.03,95.19,3.19,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3312.0,2384.64,8191.824115424253,2008.717191343181,-182.578598419787
31695,9.01,3.93,9.57,0.425,0.058,28.61,0.461,0.611,4.78,41.72,99.17,2.99,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3587.52,2583.0144,9028.362111149947,2636.6428709402303,-120.79457378538973
31698,10.86,4.18,6.92,0.357,0.064,27.31,0.397,0.919,5.58,39.01,95.6,3.95,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3941.7599999999998,2838.0671999999995,10392.043939948735,2837.755438681801,102.07597187843248
31702,8.98,4.21,10.03,0.429,0.071,31.09,0.434,0.741,5.96,34.81,96.76,3.1,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3681.6,2650.752,8526.059826310711,2077.544997877131,-193.10982759729814
31711,9.01,4.5,10.24,0.41,0.061,28.82,0.405,0.77,5.86,38.07,98.15,2.81,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3602.8799999999997,2594.0735999999997,9000.949340735599,2398.6629898126293,-127.26446439972256
31714,8.71,4.19,7.13,0.338,0.101,25.33,0.441,0.896,7.23,43.22,97.59,3.55,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3737.2799999999997,2690.8415999999997,10623.140939597315,3213.9250598657713,-47.974424161073784
31723,7.82,3.64,6.62,0.332,0.106,23.38,0.367,0.781,5.96,48.42,97.43,3.53,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3209.2799999999997,2310.6816,9883.154833190762,3349.796499161677,-62.887292044482365
31728,10.49,5.38,10.48,0.502,0.107,32.26,0.486,0.766,6.84,29.38,96.69,3.08,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3638.4,2619.648,8120.421574705518,1670.0459010539366,-95.66777681339113
31730,6.94,5.02,6.8,0.305,0.063,22.27,0.332,0.938,4.43,49.59,96.68,3.28,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3704.64,2667.3408,11977.28244274809,4157.674054351144,-133.52659847328255
