HeatNo,ScrapWt,TapWeight,EAF_Yield,Oxygen_SCF,CH4,modCarbon,SAProfile,O2_SCFperTon,Ladle_Temp,HeatsOnLadle,Preheater,Crew,Grade,Tap_Temp,Recarb,EAF_Lime,Add_A,Add_B,Add_C,Add_A_cum,Add_B_cum,Add_C_cum,Bundles,Bush,Frag,PitScrap,Remelt,Skull,#1 HMS,#2 Busheling,1170 Parts,3% Cu Remelt,30-50-85HP Remelt,4600 Parts,4600B Remelt,4600V Remelt,721 Remelt,737SH Remelt,A200 Parts,A200 Remelt,B Scrap,Carbon Pellets,Copper,Copper Bundles,Cu Skulls,Factory Bundles,Foundry Busheling,HBI - Iron Chips,HMS Drums,Home Scrap,Kish Iron,Ladle Carbon,Moly,Moly Skulls,Ni Skulls,Nickel,P/S,Pit Scrap,Pond Iron,Rail Crops,SI Sand,Solumet Moly Skulls,Solumet Ni/Mo Skulls,Solumet Pig Iron,Solumet Pit Scrap,Turnings,OTemp,Oxy,C_OxLab,C_L1,S_L1,P_L1,Si_L1,Cr_L1,Ni_L1,Cu_L1,Mn_L1,Mo_L1,Al_L1,Ca_L1,Zn_L1,Sn_L1,C_LF,S_LF,P_LF,Si_LF,Cr_LF,Ni_LF,Cu_LF,Mn_LF,Mo_LF,Al_LF,Ca_LF,Zn_LF,Sn_LF
11243,60.0085,53.1,88.4874642758,56595,16864,1355,34,943.1163918444887,1982,62,South,Team 1    ,A100      ,3149.0,746,3500,0.0,0.0,0.0,0.0,0.0,0.0,9404,24933,12513,0,0,0,18435.0,13190.0,0.0,0.0,0.0,0.0,2826.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,23799.0,0.0,0.0,0.0,0.0,0.0,3896.0,1144.0,0.0,0.0,0.0,0.0,0.0,1817.0,0.0,4033.0,0.0,0.0,0.0,0.0,0.0,0.0,4027.0,2904,642.00000,0.06700,0.47900,0.02000,0.01100,0.00400,0.08700,0.05000,0.18800,0.24900,0.04300,0.00300,0.00010,0.00100,0.00900,0.53900,0.02000,0.01100,0.00020,0.08700,0.05000,0.19000,0.24700,0.04400,0.00200,0.00010,0.00100,0.00900
11244,63.942,53.7,83.9823590128,62346,21617,1072,35,975.0398798911514,1996,28,Middle,Team 1    ,A100B     ,2982.0,443,3500,0.0,0.0,0.0,0.0,0.0,0.0,0,84575,0,4014,2569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,0.0,0.0,0.0,15326.0,21400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,2969,473.20000,0.10900,0.41500,0.01200,0.00500,0.00020,0.03800,0.02900,0.07300,0.11800,0.04100,0.00400,0.00010,0.00300,0.01100,0.48600,0.01200,0.00500,0.00020,0.04000,0.02800,0.07400,0.11800,0.04000,0.00200,0.00010,0.00200,0.01100
11245,60.2755,53.6,88.9250192864,52934,18598,568,35,878.2009274083168,1956,56,North,Team 1    ,A100B     ,3069.0,275,3754,0.0,1.0,0.0,0.0,1.0,0.0,0,77249,0,4724,2403,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0,0.0,15861.0,20314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,0.0,0.0,2926,620.10000,0.07400,0.36400,0.00900,0.00500,0.00020,0.02900,0.02600,0.06700,0.09600,0.03200,0.00300,0.00010,0.00700,0.01300,0.45600,0.01000,0.00500,0.00020,0.03000,0.02600,0.06600,0.09200,0.03600,0.00500,0.00010,0.00500,0.01300
11246,59.2435,53.7,90.6428553343,50953,18765,472,35,860.0605973651118,1978,14,South,Team 1    ,A100B     ,3022.0,500,3694,0.0,0.0,0.0,0.0,1.0,0.0,0,74400,0,4429,2946,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,15528.0,21184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,2957,1141.40000,0.04400,0.36100,0.00900,0.00500,0.00020,0.05000,0.08800,0.06400,0.10600,0.03000,0.00400,0.00010,0.00400,0.01300,0.44200,0.00900,0.00500,0.00020,0.05300,0.08600,0.06200,0.11400,0.03400,0.00300,0.00010,0.00400,0.01300
11247,57.934,54.0,93.2095142748,49186,18090,523,35,849.0005868747196,1993,63,Middle,Team 1    ,A100B     ,,273,3600,0.0,0.0,0.0,0.0,1.0,0.0,0,72923,0,4063,2868,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,15346.0,20668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,2993,1068.20000,0.05100,0.42300,0.00900,0.00500,0.00032,0.03900,0.03400,0.06300,0.10800,0.03600,0.00500,0.00100,0.00800,0.01300,0.50200,0.00800,0.00500,0.00020,0.04100,0.03300,0.06100,0.11400,0.03800,0.00500,0.00010,0.00700,0.01300
11248,54.8215,53.8,98.1366799522,56674,19007,562,28,1033.7914869166293,2002,57,Middle,Team 1    ,A100B     ,3034.0,832,3407,0.0,0.0,0.0,0.0,1.0,0.0,0,64536,0,4021,2814,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,0.0,0.0,0.0,15951.0,22321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,2921,775.80000,0.05800,0.44200,0.00800,0.00400,0.00020,0.03300,0.02800,0.05600,0.10200,0.05700,0.00500,0.00010,0.00400,0.01400,0.46300,0.00800,0.00500,0.00020,0.03400,0.02800,0.05700,0.10200,0.05500,0.00300,0.00010,0.00400,0.01400
11249,56.2065,53.8,95.7184667253,48064,17486,431,28,855.1324135108929,1986,29,North,Team 1    ,A100B     ,2964.0,792,3493,1.0,0.0,1.0,1.0,1.0,1.0,0,69735,0,4901,1843,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,15041.0,20893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,2995,1108.70000,0.05000,0.44600,0.00800,0.00300,0.00020,0.02700,0.03100,0.06300,0.09700,0.04500,0.00300,0.00010,0.00600,0.01400,0.52800,0.00700,0.00400,0.00020,0.03000,0.03200,0.06100,0.09700,0.04200,0.00300,0.00010,0.00500,0.01400
11250,58.257,53.6,92.0061108536,47521,17670,533,35,815.7131331857116,2017,15,Middle,Team 2    ,A100B     ,2988.0,700,3660,0.0,0.0,0.0,1.0,1.0,1.0,0,73073,0,4762,1986,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,16285.0,20408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,3024,1185.30000,0.05000,0.44700,0.00900,0.00500,0.00020,0.03400,0.03400,0.06000,0.12500,0.03300,0.00300,0.00010,0.00600,0.01200,0.47000,0.00800,0.00400,0.00020,0.03700,0.03300,0.06000,0.12700,0.03600,0.00300,0.00019,0.00600,0.01200
11251,58.3135,53.5,91.7454791772,53334,17740,568,35,914.6081096144118,1982,64,South,Team 2    ,A100B     ,2988.0,747,3640,0.0,0.0,0.0,1.0,1.0,1.0,0,72664,0,4337,2253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,0.0,0.0,0.0,15823.0,21550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,2949,716.30000,0.06800,0.46900,0.00900,0.00400,0.00037,0.03300,0.02400,0.06000,0.12900,0.03200,0.00400,0.00066,0.00300,0.01100,0.52200,0.00900,0.00400,0.00020,0.03500,0.02300,0.06000,0.13100,0.03200,0.00200,0.00043,0.00300,0.01100
11252,57.937,53.5,92.3416814816,48633,17127,591,35,839.4117748588985,2066,58,Middle,Team 2    ,A100B     ,3014.0,801,3620,0.0,0.0,0.0,1.0,1.0,1.0,0,73965,0,4012,2129,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0,0.0,0.0,15443.0,20325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,2883,766.90000,0.05300,0.40800,0.00800,0.00500,0.00020,0.03700,0.03200,0.04800,0.17000,0.03900,0.00300,0.00010,0.00200,0.01200,0.50200,0.00800,0.00400,0.00020,0.04000,0.03100,0.04700,0.17100,0.04100,0.00300,0.00064,0.00200,0.01200
11253,58.0045,53.3,91.8894223724,48482,17672,454,35,835.8317027127206,1901,30,South,Team 2    ,A100B     ,2991.0,490,3633,0.0,0.0,0.0,1.0,1.0,1.0,0,101029,0,4128,2075,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,0.0,8777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,2937,681.20000,0.06900,0.43500,0.00700,0.00400,0.00020,0.03100,0.01800,0.04500,0.14800,0.03500,0.00300,0.00010,0.00400,0.00900,0.51900,0.00700,0.00500,0.00300,0.03300,0.01800,0.04500,0.14800,0.03600,0.00300,0.00200,0.00400,0.01000
11254,57.915,53.6,92.5494258827,50810,17075,408,35,877.320210653544,1997,16,Middle,Team 2    ,A100B     ,2997.0,703,3615,0.0,0.0,0.0,1.0,1.0,1.0,8852,100165,0,4925,1888,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,2959,929.70000,0.05400,0.44000,0.00600,0.00400,0.00020,0.02800,0.02000,0.05800,0.12000,0.02700,0.00500,0.00037,0.00200,0.00400,0.50300,0.00700,0.00400,0.00020,0.03000,0.02200,0.05900,0.12300,0.02400,0.00300,0.00023,0.00200,0.00400
11255,62.3205,53.5,85.8465512953,52789,14559,1098,35,847.0567469773188,2006,67,South,Team 3    ,A100C     ,3016.0,864,4031,0.0,0.0,0.0,1.0,1.0,1.0,8307,98152,0,5000,2882,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,0.0,0.0,0.0,0.0,10300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,2870,834.80000,0.06000,0.45900,0.00900,0.00400,0.00020,0.03100,0.02800,0.06100,0.13600,0.05100,0.00300,0.00010,0.00400,0.00400,0.44500,0.00800,0.00400,0.00020,0.03100,0.02800,0.06000,0.12700,0.05100,0.00200,0.00010,0.00300,0.00400
11256,59.8995,53.4,89.1493251195,44580,15844,400,28,744.2466130769038,1230,67,Middle,Team 3    ,A100C     ,2990.0,598,3758,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,3947,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0,0.0,16225.0,99627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,2885,1046.50000,0.03900,0.34200,0.00700,0.00400,0.00020,0.02800,0.04100,0.06500,0.09600,0.02000,0.00400,0.00010,0.00800,0.01000,0.45600,0.00700,0.00400,0.00020,0.02900,0.04100,0.06600,0.09400,0.02100,0.00200,0.00010,0.00800,0.01000
11257,58.0095,53.8,92.7434299554,49636,17790,657,28,855.6529533955645,1977,17,South,Team 1    ,A100C     ,2976.0,500,3648,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,4160,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,0.0,0.0,16001.0,95858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,2958,1180.00000,0.00900,0.31300,0.00800,0.00400,0.00020,0.02300,0.02800,0.06700,0.06900,0.02200,0.00400,0.00010,0.00900,0.01100,0.37900,0.00900,0.00400,0.00020,0.02200,0.02800,0.06700,0.06700,0.02000,0.00400,0.00010,0.00800,0.01100
11258,58.075,54.6,94.0163581575,48538,17380,918,28,835.781317262161,1996,31,Middle,Team 1    ,A100BPF   ,3037.0,0,3655,0.0,0.0,0.0,1.0,1.0,1.0,16093,64832,14191,0,0,0,8965.0,0.0,0.0,0.0,0.0,0.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3957.0,0.0,1765.0,4907.0,0.0,0.0,0.0,0.0,0.0,0.0,3037,709.00000,0.01600,0.45100,0.01600,0.00700,0.00020,0.06000,0.04600,0.10500,0.14500,0.02800,0.00300,0.00010,0.00700,0.00700,0.48000,0.01600,0.00700,0.00075,0.06100,0.04600,0.10600,0.14400,0.02900,0.00300,0.00010,0.00700,0.00700
11259,58.028,53.6,92.3692010753,50667,18321,737,28,873.1474460605225,1974,65,North,Team 1    ,A100BPF   ,3007.0,206,3600,0.0,0.0,0.0,1.0,1.0,1.0,16588,67661,14079,0,0,0,7835.0,0.0,0.0,0.0,0.0,0.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401.0,0.0,1492.0,3678.0,0.0,0.0,0.0,0.0,0.0,0.0,3032,935.00000,0.01200,0.50300,0.01500,0.00800,0.00020,0.06800,0.05000,0.11000,0.14800,0.02700,0.00400,0.00010,0.00400,0.00800,0.50400,0.01500,0.00800,0.00020,0.06800,0.05100,0.10900,0.14800,0.02800,0.00300,0.00010,0.00400,0.00800
11260,58.042,53.5,92.1746321629,51644,18185,475,35,889.7694772750766,1990,60,South,Team 1    ,A100BPF   ,3055.0,201,3632,0.0,0.0,0.0,1.0,1.0,1.0,16758,67061,13382,0,0,0,8974.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3121.0,0.0,1801.0,3541.0,0.0,0.0,0.0,0.0,0.0,0.0,3065,851.00000,0.01300,0.46400,0.01300,0.00700,0.00020,0.07000,0.05100,0.10500,0.13600,0.03700,0.00400,0.00010,0.00400,0.00700,0.50300,0.01200,0.00700,0.00020,0.07000,0.05000,0.10300,0.13300,0.03600,0.00300,0.00010,0.00400,0.00700
